"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Avg Wind Speed","192.168.12.73",3,3678,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,3680,2,"'00000000",0
"Snow Temp","192.168.12.73",3,3682,2,"'00000000",0
"Snow Distance","192.168.12.73",3,3684,2,"'00000000",0
"Snow Depth","192.168.12.73",3,3686,2,"'00000000",0
"Row Locked","192.168.12.73",3,3688,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 8 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,4096,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,4104,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,4108,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,4116,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,4124,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,4132,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,4134,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,4136,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,4137,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,4138,1,"'0000",0
"Location Text","192.168.12.73",3,4139,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,4155,2,"'00000000",0
"Longitude","192.168.12.73",3,4157,2,"'00000000",0
"Config Flags","192.168.12.73",3,4159,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,4161,2,"'00000000",0
"Battery Current","192.168.12.73",3,4163,2,"'00000000",0
"Battery Charged","192.168.12.73",3,4165,1,"'0000",0
"Battery Health","192.168.12.73",3,4166,1,"'0000",0
"Charger Voltage","192.168.12.73",3,4167,2,"'00000000",0
"Charger Current","192.168.12.73",3,4169,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,4171,2,"'00000000",0
"Solar Current","192.168.12.73",3,4173,2,"'00000000",0
"Controller Status","192.168.12.73",3,4175,2,"'00000000",0
"Tracking Status","192.168.12.73",3,4177,1,"'0000",0
"Current Angle","192.168.12.73",3,4178,2,"'00000000",0
"Requested Angle","192.168.12.73",3,4180,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,4182,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,4184,2,"'00000000",0
"Wind Speed","192.168.12.73",3,4186,2,"'00000000",0
"Wind Direction","192.168.12.73",3,4188,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,4190,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,4192,2,"'00000000",0
"Snow Temp","192.168.12.73",3,4194,2,"'00000000",0
"Snow Distance","192.168.12.73",3,4196,2,"'00000000",0
"Snow Depth","192.168.12.73",3,4198,2,"'00000000",0
"Row Locked","192.168.12.73",3,4200,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 9 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,4608,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,4616,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,4620,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,4628,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,4636,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,4644,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,4646,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,4648,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,4649,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,4650,1,"'0000",0
"Location Text","192.168.12.73",3,4651,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,4667,2,"'00000000",0
"Longitude","192.168.12.73",3,4669,2,"'00000000",0
"Config Flags","192.168.12.73",3,4671,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,4673,2,"'00000000",0
"Battery Current","192.168.12.73",3,4675,2,"'00000000",0
"Battery Charged","192.168.12.73",3,4677,1,"'0000",0
"Battery Health","192.168.12.73",3,4678,1,"'0000",0
"Charger Voltage","192.168.12.73",3,4679,2,"'00000000",0
"Charger Current","192.168.12.73",3,4681,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,4683,2,"'00000000",0
"Solar Current","192.168.12.73",3,4685,2,"'00000000",0
"Controller Status","192.168.12.73",3,4687,2,"'00000000",0
"Tracking Status","192.168.12.73",3,4689,1,"'0000",0
"Current Angle","192.168.12.73",3,4690,2,"'00000000",0
"Requested Angle","192.168.12.73",3,4692,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,4694,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,4696,2,"'00000000",0
"Wind Speed","192.168.12.73",3,4698,2,"'00000000",0
"Wind Direction","192.168.12.73",3,4700,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,4702,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,4704,2,"'00000000",0
"Snow Temp","192.168.12.73",3,4706,2,"'00000000",0
"Snow Distance","192.168.12.73",3,4708,2,"'00000000",0
"Snow Depth","192.168.12.73",3,4710,2,"'00000000",0
"Row Locked","192.168.12.73",3,4712,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
