"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
599,"Solar Voltage","192.168.12.73",6,50251,2,"'00000000",0
599,"Solar Current","192.168.12.73",6,50253,2,"'00000000",0
599,"Controller Status","192.168.12.73",6,50255,2,"'00000000",0
599,"Tracking Status","192.168.12.73",6,50257,1,"'0000",0
599,"Current Angle","192.168.12.73",6,50258,2,"'00000000",0
599,"Requested Angle","192.168.12.73",6,50260,2,"'00000000",0
599,"Motor Power (Prev Hr)","192.168.12.73",6,50262,2,"'00000000",0
599,"Angular Error (Prev Hr)","192.168.12.73",6,50264,2,"'00000000",0
599,"Wind Speed","192.168.12.73",6,50266,2,"'00000000",0
599,"Wind Direction","192.168.12.73",6,50268,2,"'00000000",0
599,"Avg Wind Speed","192.168.12.73",6,50270,2,"'00000000",0
599,"Peak Wind Speed","192.168.12.73",6,50272,2,"'00000000",0
599,"Snow Temp","192.168.12.73",6,50274,2,"'00000000",0
599,"Snow Distance","192.168.12.73",6,50276,2,"'00000000",0
599,"Snow Depth","192.168.12.73",6,50278,2,"'00000000",0
599,"Row Locked","192.168.12.73",6,50280,1,"'0000",0
600,"Device Type","192.168.12.73",6,50688,8,"'547261636B6572000000000000000000","Tracker"
600,"Last Reported","192.168.12.73",6,50696,4,"'00000000689C92F8","1755091704"
600,"Model Number","192.168.12.73",6,50700,8,"'5454432D322B57580000000000000000","TTC-2+WX"
600,"HW Rev","192.168.12.73",6,50708,8,"'33000000000000000000000000000000","3"
600,"FW Rev","192.168.12.73",6,50716,8,"'382E3400000000000000000000000000","8.4"
600,"Uptime","192.168.12.73",6,50724,2,"'000947AD",608173
600,"SNAP Addr","192.168.12.73",6,50726,2,"'13B4B8","0x13B4B8"
600,"RSSI","192.168.12.73",6,50728,1,"'0034",52
600,"Has WX Sensor","192.168.12.73",6,50729,1,"'0001",1
600,"Has Tracker HW","192.168.12.73",6,50730,1,"'0001",1
600,"Location Text","192.168.12.73",6,50731,16,"'3630300000000000000000000000000000000000000000000000000000000000","600"
600,"Latitude","192.168.12.73",6,50747,2,"'4206AD7B",33.66941452026367
600,"Longitude","192.168.12.73",6,50749,2,"'429216F4",73.04483032226562
600,"Config Flags","192.168.12.73",6,50751,2,"'000000C5",197
600,"Battery Voltage","192.168.12.73",6,50753,2,"'41580000",13.5
600,"Battery Current","192.168.12.73",6,50755,2,"'3CA3D70A",0.019999999552965164
600,"Battery Charged","192.168.12.73",6,50757,1,"'0064",100
600,"Battery Health","192.168.12.73",6,50758,1,"'0064",100
600,"Charger Voltage","192.168.12.73",6,50759,2,"'00000000",0
600,"Charger Current","192.168.12.73",6,50761,2,"'00000000",0
600,"Solar Voltage","192.168.12.73",6,50763,2,"'418F3333",17.899999618530273
600,"Solar Current","192.168.12.73",6,50765,2,"'3CF5C28F",0.029999999329447746
600,"Controller Status","192.168.12.73",6,50767,2,"'00000000",0
600,"Tracking Status","192.168.12.73",6,50769,1,"'0000",0
600,"Current Angle","192.168.12.73",6,50770,2,"'BF333333",-0.699999988079071
600,"Requested Angle","192.168.12.73",6,50772,2,"'00000000",0
600,"Motor Power (Prev Hr)","192.168.12.73",6,50774,2,"'00000000",0
600,"Angular Error (Prev Hr)","192.168.12.73",6,50776,2,"'C18B3333",-17.399999618530273
600,"Wind Speed","192.168.12.73",6,50778,2,"'00000000",0
600,"Wind Direction","192.168.12.73",6,50780,2,"'00000000",0
600,"Avg Wind Speed","192.168.12.73",6,50782,2,"'00000000",0
600,"Peak Wind Speed","192.168.12.73",6,50784,2,"'00000000",0
600,"Snow Temp","192.168.12.73",6,50786,2,"'00000000",0
600,"Snow Distance","192.168.12.73",6,50788,2,"'00000000",0
600,"Snow Depth","192.168.12.73",6,50790,2,"'00000000",0
